video_id,start_gap,end_gap,duration
6181186365678406085,2671.080,2682.200,11.120
5352897198172711984,770.760,781.160,10.400
5352897198172711984,1540.840,1543.800,2.960
5352897198172711984,1968.280,1972.640,4.360
5352897198172711984,2277.640,2279.240,1.600
5352897198172711984,2455.920,2458.200,2.280
5352897198172711984,3488.120,3491.320,3.200
6013187860901899064,3538.120,3554.160,16.040
5246778434713316161,38.720,41.880,3.160
5534420984461046901,2583.240,2586.880,3.640
5485044751948311759,3169.520,3173.240,3.720
5626554475444429535,383.600,384.720,1.120
6137033672378784348,140.600,142.200,1.600
6137033672378784348,476.400,490.840,14.440
6137033672378784348,722.680,733.680,11.000
6137033672378784348,1155.040,1162.960,7.920
6137033672378784348,1307.480,1310.800,3.320
6137033672378784348,2010.160,2019.240,9.080
6137033672378784348,2077.320,2087.040,9.720
6137033672378784348,2547.440,2558.640,11.200
5362933249083488140,836.880,863.160,26.280
5362933249083488140,2418.760,2424.880,6.120
6148541178271818939,2931.720,2933.840,2.120
5120215198258444599,265.320,277.040,11.720
5120215198258444599,6364.120,6371.760,7.640
5695812111549373490,88.960,95.280,6.320
6173774970112505669,85.000,104.520,19.520
6173774970112505669,592.200,598.160,5.960
6173774970112505669,1150.880,1153.960,3.080
6173774970112505669,1976.440,1978.960,2.520
6173774970112505669,2335.280,2344.360,9.080
6173774970112505669,2603.320,2608.040,4.720
6173774970112505669,2866.240,2877.440,11.200
6173774970112505669,2971.600,2972.640,1.040
5372207800632269594,2496.160,2497.640,1.480
6102158108438554543,355.040,371.320,16.280
6102158108438554543,2394.360,2397.480,3.120
6102158108438554543,3528.520,3553.880,25.360
6048674169191652863,639.640,641.000,1.360
5198171431661229432,1720.440,1734.080,13.640
5597232304217903914,905.480,907.440,1.960
6621119436331978725,884.160,885.520,1.360
5878101261017920560,1616.840,1619.120,2.280
5625657686239776008,2327.080,2333.000,5.920
6056992661850552208,1710.400,1739.640,29.240
6327755990124973956,2666.360,2678.680,12.320
6064277785378015921,1877.080,1880.920,3.840
5571863220857386728,674.800,676.240,1.440
5571863220857386728,951.440,962.080,10.640
5571863220857386728,987.360,990.640,3.280
5571863220857386728,1220.160,1222.360,2.200
5571863220857386728,1633.480,1638.760,5.280
5571863220857386728,2682.360,2687.360,5.000
5571863220857386728,2778.640,2779.960,1.320
5571863220857386728,2847.080,2849.320,2.240
5571863220857386728,3108.840,3120.120,11.280
5571863220857386728,3166.520,3180.640,14.120
6134818757744315113,1107.040,1114.800,7.760
6134818757744315113,1316.240,1332.680,16.440
6163019942506499968,3442.080,3444.440,2.360
6163019942506499968,3576.720,3600.360,23.640
6048898366505533731,1600.320,1603.160,2.840
5935671002674536388,79.480,82.000,2.520
5988255575748684739,153.760,163.560,9.800
5988255575748684739,869.560,896.880,27.320
5996738995151692921,659.240,663.360,4.120
5387450639578025747,1641.120,1643.200,2.080
